t,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,q0,q1,q2,q3,a0,u,c
43350.46435,3,3,4,4,4,4,4,5,4,4,10,9,10,9,71.67,0,0
43350.51653,2,2,4,4,4,4,4,4,5,4,10,9,10,9,71.67,0,1
43350.53638,3,3,3,4,4,4,4,4,5,4,10,9,10,9,71.67,0,2
43350.46388,2,2,4,4,4,4,4,5,4,4,9,6,10,8,65,1,0
43350.4906,3,2,4,4,4,3,4,5,3,4,9,6,10,8,65,1,1
43350.53849,3,2,4,2,4,3,3,4,3,4,9,6,10,8,65,1,2
43350.45869,4,3,3,2,3,2,2,5,5,5,10,8,10,10,63.33,2,0
43350.47414,5,3,4,3,3,2,3,4,5,5,10,8,10,10,63.33,2,1
43350.45341,4,2,4,4,2,2,2,2,5,5,7,5,6,6,71.67,3,0
43350.48033,4,4,4,4,4,2,2,4,4,4,7,5,6,6,71.67,3,1
43350.43448,4,4,2,2,2,4,4,4,5,4,8,7,8,5,71.67,4,0
43350.45763,4,2,2,4,2,4,4,4,4,5,8,7,8,5,71.67,4,0
43350.44984,4,2,4,4,4,4,5,5,5,5,10,8,10,6,83.33,5,0
43350.48816,3,2,4,1,4,2,4,2,3,2,10,8,10,6,83.33,5,1
43350.52634,3,1,5,2,4,3,3,2,3,3,10,8,10,6,83.33,5,2
43350.45933,4,3,3,3,3,1,1,4,5,5,9,10,10,9,90,6,0
43350.46876,4,4,2,2,3,2,2,4,5,5,9,10,10,9,90,6,1
43350.4983,5,5,1,3,3,1,1,4,5,5,9,10,10,9,90,6,2
43350.46047,3,3,4,4,4,2,3,3,4,3,10,10,10,10,68.33,7,0
43350.48949,3,4,4,4,4,3,4,4,3,3,10,10,10,10,68.33,7,1
43350.53856,3,4,3,4,4,3,3,4,4,3,10,10,10,10,68.33,7,2
43350.45786,4,2,3,4,2,2,4,4,4,2,10,8,10,8,63.33,8,0
43350.48732,3,1,3,3,3,4,4,4,3,2,10,8,10,8,63.33,8,1
43350.45914,5,5,3,5,3,5,3,5,5,5,9,10,7,10,30,9,0
43350.48763,5,4,4,5,5,5,5,5,5,5,9,10,7,10,30,9,1
43350.44632,4,2,2,4,3,4,2,3,3,3,10,10,8,9,35,10,0
43350.48748,3,3,4,4,2,3,4,4,4,4,10,10,8,9,35,10,1
43350.44036,4,4,3,3,4,2,5,4,5,4,7,6,6,10,63.33,11,0
43350.44412,5,3,4,4,4,2,3,5,5,5,7,6,6,10,63.33,11,1
43350.46879,5,4,4,4,4,2,4,5,5,5,7,6,6,10,63.33,11,2
43350.48739,5,4,4,4,4,4,5,5,4,4,7,6,6,10,63.33,11,1
43350.46256,4,5,5,2,4,4,5,5,5,5,9,10,9,10,61.67,12,0
43350.47767,4,2,1,2,4,2,1,3,3,2,9,10,9,10,61.67,12,1
43350.52482,5,4,4,4,4,5,4,5,5,5,9,10,9,10,61.67,12,2
43350.4437,5,4,3,3,2,3,3,4,4,4,10,10,10,10,60,13,0
43350.48991,4,3,3,4,3,4,4,4,4,4,10,10,10,10,60,13,1
43350.54392,4,4,3,4,3,3,3,4,4,4,10,10,10,10,60,13,2
43350.46576,4,4,3,4,3,3,3,5,3,3,9,9,9,9,58.33,14,0
43350.48807,3,3,3,4,3,3,3,4,3,3,9,9,9,9,58.33,14,1
43350.4571,5,5,5,5,5,5,5,5,5,5,10,10,9,10,53.33,15,0
43350.50113,2,2,2,2,2,2,2,2,2,2,10,10,9,10,53.33,15,1
43350.52591,4,4,4,4,4,4,4,4,4,4,10,10,9,10,53.33,15,2
43350.45327,4,3,3,4,2,3,3,5,5,5,10,10,9,10,10,16,0
43350.48143,3,3,3,2,3,2,3,3,3,3,9,9,10,10,63.33,17,0
43350.47457,3,2,4,4,4,4,4,4,4,4,10,8,10,10,68.33,18,0
43350.50619,4,4,4,4,4,4,4,4,4,4,10,8,10,10,68.33,18,1
43350.52475,4,4,4,4,4,4,4,4,4,4,10,8,10,10,68.33,18,2
43350.45745,5,5,2,5,2,3,2,4,5,5,10,8,5,5,80,19,0
43350.48773,4,3,2,4,2,2,3,4,5,5,10,8,5,5,80,19,1
43350.4664,2,3,4,4,1,4,4,4,5,5,8,10,7,7,60,20,0
43350.48762,4,3,5,2,2,4,5,5,5,5,8,10,7,7,60,20,1
43350.46577,3,1,4,1,1,4,4,4,5,4,10,9,10,10,60,21,0
43350.48965,5,1,5,1,1,5,5,5,5,5,10,9,10,10,60,21,1
43350.45003,4,5,1,2,3,3,3,4,4,4,10,8,10,10,66.67,22,0
43350.47277,4,4,3,3,5,1,4,3,3,3,10,8,10,10,66.67,22,1
43350.54039,3,3,4,3,2,5,3,5,3,3,10,8,10,10,66.67,22,2
43350.45912,5,5,5,5,5,5,5,5,5,5,8,7,10,8,68.33,23,0
43350.49138,5,5,5,5,5,5,5,5,5,5,8,7,10,8,68.33,23,1
43350.54368,5,5,5,5,5,5,5,5,5,5,8,7,10,8,68.33,23,2
43350.45319,4,3,4,4,4,3,3,4,5,5,10,9,10,10,0,24,0
43350.51715,3,3,3,3,3,4,4,5,5,5,10,9,10,10,0,24,1
43350.46452,2,2,4,2,1,2,4,5,5,2,9,9,8,7,70,25,0
43350.47943,3,2,3,3,1,2,2,4,4,3,9,9,8,7,70,25,1
43350.48806,3,2,4,3,1,4,4,4,5,4,9,9,8,7,70,25,1
43350.47363,3,3,3,4,3,4,4,4,4,4,10,9,9,10,56.67,26,1
43350.43472,4,4,2,4,1,1,3,4,5,5,10,10,10,8,90,27,0
43350.45086,4,4,2,4,1,2,4,4,5,5,10,10,10,8,90,27,1
43350.46254,4,4,2,4,1,4,2,4,5,5,10,10,10,8,90,27,2
43350.4496,5,4,4,4,3,2,3,5,5,4,10,10,9,10,73.33,28,0
43350.49368,4,4,4,4,3,3,3,5,5,5,10,10,9,10,73.33,28,1
43350.52442,4,4,3,4,3,3,4,4,5,5,10,10,9,10,73.33,28,2
43350.44215,5,5,5,3,4,4,3,4,5,5,10,9,9,10,85,29,0
43350.48435,5,4,4,4,4,5,5,5,5,5,10,9,9,10,85,29,1
43350.54122,5,5,4,4,4,5,4,4,5,5,10,9,9,10,85,29,2
43350.4676,4,4,2,3,2,1,3,3,5,5,10,10,10,10,75,30,0
43350.4962,4,2,5,3,2,5,5,5,5,5,10,10,10,10,75,30,1
43350.5442,4,1,1,3,2,5,5,5,5,5,10,10,10,10,75,30,2
43350.66993,3,2,4,4,2,3,3,4,5,5,10,8,5,5,80,19,2
43378.44539,4,5,2,3,2,3,3,4,4,3,9,9,9,9,58.33,14,3
43378.45003,5,5,5,4,3,4,4,5,5,5,8,7,10,8,68.33,23,3
43378.45025,5,5,5,4,3,4,4,5,5,5,8,7,10,8,68.33,23,3
43378.45236,4,4,2,3,2,3,3,4,4,3,9,9,9,9,58.33,14,3
43378.45299,4,3,3,3,1,4,4,4,4,3,9,9,8,7,70,25,3
43378.45524,5,5,5,5,5,5,5,4,5,5,7,6,6,10,63.33,11,3
43378.45741,4,4,2,5,2,4,4,5,5,5,10,10,10,8,90,27,3
43378.45754,5,4,4,5,3,5,3,5,5,5,9,10,7,10,30,9,3
43378.45757,3,4,4,4,3,4,4,4,4,3,10,10,10,10,68.33,7,3
43378.45783,4,4,2,4,2,4,4,5,4,5,10,8,10,6,83.33,5,3
43378.45785,3,4,4,4,3,4,4,4,4,3,10,10,10,10,68.33,7,3
43378.45865,5,5,2,5,2,4,2,4,4,5,10,8,5,5,80,19,3
43378.45953,5,5,2,3,4,2,2,4,5,5,10,8,10,10,63.33,2,3
43378.46182,5,4,4,5,4,3,3,5,4,5,10,9,9,10,85,29,3
43378.46535,4,5,1,4,3,3,2,4,4,4,10,10,10,9,80,31,3
43378.46657,5,5,5,5,5,5,5,5,5,5,10,10,9,10,53.33,15,3
43378.46813,4,2,2,3,4,5,3,5,5,4,9,10,9,10,61.67,12,3
43378.46905,5,3,5,4,4,5,4,5,5,5,10,9,9,10,85,29,4
43378.47175,3,2,2,5,3,5,5,5,5,4,10,10,10,10,60,13,3
43378.4725,4,4,2,4,2,2,3,4,4,5,10,8,10,6,83.33,5,4
43378.47426,4,3,2,4,2,4,4,4,5,5,10,10,10,8,90,27,4
43378.47432,5,3,4,5,5,5,4,5,5,5,10,10,9,10,73.33,28,3
43378.47462,3,4,4,4,4,4,4,4,4,4,10,10,10,10,68.33,7,4
43378.47512,4,4,2,4,4,5,5,5,5,5,7,6,6,10,63.33,11,4
43378.47953,4,2,2,4,1,4,4,4,5,5,9,9,8,7,70,25,4
43378.48426,4,4,3,3,2,2,3,4,4,3,9,9,9,9,58.33,14,4
43378.48553,5,5,5,5,5,5,5,5,5,5,10,10,9,10,53.33,15,4
43378.48576,4,3,4,3,4,4,4,4,4,4,10,8,10,8,63.33,8,3
43378.48914,4,3,3,3,4,3,3,3,4,3,9,10,9,10,61.67,12,4
43378.49608,4,3,4,5,3,5,4,5,5,4,10,10,10,10,60,13,4
43378.49632,5,4,3,5,5,5,3,5,5,5,10,10,9,10,73.33,28,4
43378.50193,5,5,5,5,5,5,5,5,5,5,8,7,10,8,68.33,23,4
43378.50238,5,4,4,5,3,5,3,5,5,5,9,10,7,10,30,9,4
43378.50725,3,1,5,2,2,4,4,2,3,3,10,8,10,6,83.33,5,5
43378.51068,3,3,2,3,4,4,3,4,3,3,9,10,9,10,61.67,12,6
43378.51467,5,4,4,5,3,5,3,5,5,5,9,10,7,10,30,9,6
43378.51485,5,5,5,5,5,5,5,5,5,5,8,7,10,8,68.33,23,6
43378.51521,4,4,4,3,3,5,5,5,4,3,10,8,10,8,63.33,8,4
43378.51539,5,4,4,5,3,5,3,5,5,5,9,10,7,10,30,9,6
43378.51775,5,4,4,5,4,5,5,5,5,5,10,9,9,10,85,29,7
43378.52304,5,3,3,3,3,4,2,5,5,5,10,9,10,10,0,24,3
43378.52543,2,2,2,4,3,5,5,3,4,4,10,10,10,9,88.33,32,4
43378.53037,5,4,1,5,4,4,3,4,4,4,10,10,10,9,80,31,4
43378.53166,5,4,1,5,2,2,2,4,5,5,10,8,5,5,80,19,4
43378.53834,5,5,5,5,5,5,5,5,5,5,10,10,9,10,53.33,15,5
43378.53956,5,4,4,5,3,5,3,5,5,5,9,10,7,10,30,9,5
43378.53965,5,4,4,4,4,4,5,4,5,5,7,6,6,10,63.33,11,5