s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,-,-,-,-,-,-,+,-,-,s5,0.731893941,0.083925595,1,
-,-,-,+,+,-,-,-,+,-,-,s6,0.931682868,0.083677682,3,
-,-,-,-,-,-,+,-,-,-,+,s4,0.793278675,0.083604475,2,
-,-,-,-,-,+,-,-,-,-,+,s9,1.013948522,0.083360339,2,
-,-,+,-,-,-,+,-,-,-,-,s4,0.98404616,0.08246814,2,
-,-,-,-,+,+,+,-,-,-,-,s7,1.140868584,0.080933253,3,
-,-,-,+,+,-,-,+,-,-,-,qc,1.102743,0.080612486,3,
-,-,+,-,-,-,-,-,-,-,-,s4,0.947038386,0.080504639,1,
-,+,-,-,-,-,-,-,+,-,-,s3,0.969160135,0.080306762,2,
-,-,-,+,+,-,+,-,-,-,-,s5,0.889201667,0.080267159,3,
-,-,-,-,-,+,-,-,+,+,-,s4,0.837293313,0.080216862,3,
-,-,-,-,+,-,-,+,-,+,+,s3,0.909994863,0.079895879,4,
-,-,-,-,+,-,-,+,+,+,-,s6,1.030584317,0.079610781,4,
-,-,-,-,-,+,-,-,-,-,-,s1,0.838112248,0.079354712,1,
-,-,-,-,-,+,+,+,+,+,-,qc,0.784042897,0.079272034,5,
-,-,-,-,-,-,-,-,+,-,-,s6,0.83179393,0.078815876,1,
-,-,-,+,-,-,-,-,-,-,-,s7,0.803646404,0.078101679,1,
-,-,+,-,+,-,-,-,-,+,-,s6,1.170682468,0.076803568,3,
-,-,-,-,-,-,-,+,-,-,-,s4,0.856241724,0.076660346,1,
-,-,-,-,+,-,-,+,-,-,-,s9,0.952589508,0.076213013,2,
-,-,+,-,+,-,-,+,-,-,-,s3,0.654836321,0.075518581,3,
-,-,-,-,+,+,-,-,-,-,+,s3,0.66715538,0.075400579,3,
-,-,+,-,-,-,+,-,-,-,-,s8,0.886543228,0.075210479,2,
-,-,+,-,-,-,+,+,-,-,-,s8,0.947599319,0.075172469,3,
-,+,+,-,-,-,-,-,-,-,-,s6,0.755509382,0.074420638,2,
-,-,+,-,+,-,-,-,-,-,+,s6,0.84522105,0.07436182,3,
-,-,-,-,-,-,-,+,-,-,-,s5,1.077309489,0.074120203,1,
-,-,-,-,-,+,-,+,-,+,-,s6,0.783558062,0.073132945,3,
-,-,-,-,-,-,-,-,+,-,-,s0,1.066013124,0.071490287,1,
-,-,-,-,-,+,-,-,-,-,+,s2,0.895983733,0.070176248,2,
-,-,-,+,-,+,-,+,-,-,+,s4,0.885056333,0.069074385,4,
-,-,+,-,-,-,+,-,-,-,+,s4,0.816390979,0.068350467,3,
-,+,-,-,-,-,-,-,-,-,-,s9,0.860367159,0.06820423,1,
-,-,-,-,-,+,+,-,-,-,-,s4,0.882586719,0.068023312,2,
-,-,-,+,-,-,-,+,-,-,-,s4,0.902263542,0.067661535,2,
-,-,-,-,-,-,-,-,-,+,-,s5,1.039628178,0.066545391,1,
-,-,-,-,-,+,-,-,-,+,+,s2,0.863761242,0.066287993,3,
-,-,-,+,-,-,-,-,+,+,+,s5,1.092945238,0.065880696,4,
-,-,-,-,-,+,+,+,-,-,+,s4,0.690465061,0.06513039,4,
-,+,-,-,-,-,+,-,-,-,-,s5,0.865317553,0.063981349,2,
-,-,-,+,-,+,-,+,-,-,+,s6,0.901608743,0.063333724,4,
-,-,+,-,-,-,+,-,-,-,+,s9,0.631710716,0.06270625,3,
-,-,-,+,+,+,-,-,-,+,-,qc,0.946934141,0.06249285,4,
-,-,-,+,-,-,-,-,+,-,-,s2,0.789205649,0.062274586,2,
-,+,-,-,-,-,-,-,-,-,-,s5,0.96829896,0.062228295,1,
-,-,-,+,+,-,-,+,+,-,-,s5,0.866990963,0.062171211,4,
-,-,-,-,-,+,+,-,-,-,-,s7,0.702943326,0.061408162,2,
-,-,-,-,+,-,+,+,-,-,-,s3,0.77663371,0.06138784,3,
-,-,-,-,+,-,+,-,-,+,+,s5,0.681187625,0.060725923,4,
-,-,-,-,+,-,-,-,-,-,-,s8,0.895573377,0.060720426,1,
-,-,-,-,-,+,+,-,+,-,-,s3,0.884628843,0.060556246,3,
-,-,-,+,+,+,-,-,-,-,-,s8,1.057148345,0.059676372,3,
-,-,-,-,-,+,-,-,+,+,+,s3,1.183072039,0.058933392,4,
-,-,+,-,-,-,-,-,+,+,-,s7,1.118406867,0.058452065,3,
-,-,-,-,+,+,-,-,-,-,-,s3,0.71751077,0.057471172,2,
-,-,-,-,-,-,-,+,-,-,-,s9,0.822967282,0.057089921,1,
-,-,-,+,-,-,+,+,-,-,-,s8,0.792100132,0.056598462,3,
-,-,-,-,-,-,-,+,-,-,+,s6,0.9590124,0.056169928,2,
-,-,-,+,-,-,+,-,-,-,-,s2,0.979878337,0.05597249,2,
-,-,-,-,-,-,+,+,+,+,-,s3,0.934571375,0.055046343,4,
-,-,-,-,+,-,-,-,+,+,+,s6,1.155663405,0.054818958,4,
-,-,-,+,-,+,+,-,-,+,-,s8,0.812809099,0.053802778,4,
+,-,-,-,-,-,-,-,-,-,-,s8,0.75581817,0.051586325,1,
-,-,-,+,+,+,-,-,-,-,+,s8,0.991458341,0.051528465,4,
-,-,-,-,-,-,-,+,-,+,-,s6,0.99718713,0.051481523,2,
-,-,-,-,-,-,-,+,+,+,-,s2,1.201881776,0.051375634,3,
-,-,-,-,+,-,+,+,+,+,-,s5,0.988594678,0.051268,5,
-,-,-,-,-,-,-,+,-,-,-,s2,1.018218383,0.050837043,1,
-,-,+,-,-,-,-,+,-,-,-,s8,0.866005197,0.05050524,2,
-,-,-,-,-,-,+,+,+,-,+,s5,0.888146202,0.050035991,4,
-,-,+,-,+,+,-,-,-,-,-,s8,1.179998018,0.049895804,3,
-,-,-,-,+,-,+,-,-,-,-,s3,1.041957444,0.048940607,2,
-,-,-,-,-,-,+,-,-,+,-,s1,0.768819101,0.047671611,2,
-,-,-,+,-,-,-,+,+,+,-,s4,1.155707038,0.046711198,4,
-,-,+,-,-,-,-,+,+,-,-,s5,0.720156265,0.046294026,3,
-,-,+,-,-,+,-,+,-,-,-,s4,0.944051606,0.045972391,3,
-,-,-,-,-,-,+,-,-,-,+,s5,0.741938301,0.04516099,2,
-,-,-,-,-,-,+,+,-,-,-,s3,1.03234772,0.04496197,2,
-,-,-,-,+,+,-,+,-,+,+,s6,0.764081716,0.044086384,5,
-,-,-,-,+,+,-,+,-,-,-,s8,0.717557956,0.04370875,3,
-,+,-,-,-,-,-,-,-,+,-,s6,0.949332977,0.04337486,2,
-,-,-,-,-,-,+,+,+,-,-,s2,0.989513356,0.043237753,3,
-,-,-,+,-,-,-,-,+,-,+,s5,0.886442713,0.041646503,3,
-,-,-,-,-,-,-,-,-,+,+,s3,1.004414531,0.041148105,2,
-,-,-,+,-,-,+,+,+,-,-,s4,0.940719139,0.041095867,4,
-,-,+,-,-,-,-,-,-,+,-,s4,1.061239538,0.040924223,2,
-,-,+,-,-,-,-,-,+,-,-,s1,0.745358233,0.040037539,2,
-,-,-,-,-,-,-,+,-,-,+,s1,0.869954591,0.03972646,2,
-,-,+,+,-,-,-,+,-,-,-,s4,1.131595881,0.039641947,3,
-,-,-,-,-,-,-,-,+,+,+,s4,0.962403401,0.03929991,3,
-,+,-,-,-,-,+,-,-,-,-,s3,0.924516081,0.038814588,2,
-,-,+,+,-,+,-,-,-,-,-,s9,0.722720556,0.038270325,3,
-,-,-,+,-,-,+,-,-,+,+,s7,0.6477563,0.036562186,4,
-,-,+,-,-,-,-,+,-,+,-,s4,1.14850906,0.036161767,3,
-,-,-,-,-,+,-,-,+,+,-,s3,0.945623043,0.035723081,3,
-,-,-,+,-,-,-,+,-,-,-,s9,0.758315154,0.035248294,2,
-,-,-,+,+,-,+,-,-,-,-,s7,1.240508495,0.034700837,3,
-,-,-,-,-,+,-,+,+,+,-,qc,0.957286181,0.034464403,4,
-,-,-,-,+,-,-,-,-,+,-,s1,0.82626776,0.033883985,2,
-,-,-,-,+,+,+,-,-,-,+,s3,0.953618948,0.033063402,4,
-,-,+,-,+,-,-,-,-,-,-,s3,1.112769597,0.032877275,2,
-,-,-,-,-,-,+,-,-,+,-,s3,0.851426951,0.032865894,2,
-,-,-,-,-,+,-,-,-,+,-,s6,0.792183116,0.032702359,2,
-,-,-,-,-,-,-,-,-,+,-,s2,1.052384287,0.032023363,1,
-,-,-,+,+,-,-,-,+,-,-,s2,1.225316595,0.031242524,3,
-,-,-,-,+,-,-,+,+,-,-,s2,1.046130914,0.030138473,3,
-,-,-,+,+,-,-,+,-,+,-,s5,1.125189189,0.029647484,4,
-,-,-,+,-,-,-,-,-,-,+,s7,1.181170619,0.029454876,2,
-,-,-,-,-,-,-,-,-,+,-,s1,0.71895,0.029267411,1,
-,-,-,-,-,-,+,-,-,-,-,s2,0.923035156,0.029165864,1,
-,-,+,-,-,-,-,-,-,-,-,s0,0.842516205,0.02908348,1,
-,-,+,+,-,-,-,-,-,-,-,s6,1.021094814,0.028740677,2,
-,-,-,+,-,-,-,-,-,+,-,s6,1.07412996,0.025990311,2,
-,-,-,-,-,-,+,-,+,+,-,s3,0.905151815,0.025060521,3,
-,-,-,-,-,-,+,+,-,-,-,s4,0.8445514,0.024973133,2,
-,-,-,-,-,+,-,+,-,-,-,s9,0.788682812,0.024833873,2,
-,-,-,-,+,-,-,-,+,+,+,s3,1.173400224,0.023339896,4,
-,-,-,+,-,-,-,-,-,+,+,s5,0.871012264,0.022535731,3,
-,-,-,-,+,+,+,+,-,-,-,s8,0.743587709,0.022501571,4,
-,-,-,-,+,-,-,+,+,-,-,s5,0.804171437,0.020927282,3,
-,-,-,-,+,-,+,+,+,-,-,s3,0.761962097,0.019707785,4,
-,-,+,-,-,-,-,-,+,-,-,s5,1.043244477,0.019445341,2,
-,-,-,+,+,-,+,-,-,-,-,qc,1.114771995,0.019047255,3,
-,-,-,+,-,-,-,-,-,-,+,s2,0.985207756,0.018980199,2,
-,-,-,-,-,-,+,+,-,+,-,qc,1.053158327,0.018515875,3,
-,-,+,+,+,-,-,-,-,-,-,s6,0.848282771,0.016276401,3,
-,-,-,-,+,-,-,-,-,-,-,s5,1.12912852,0.014824235,1,
-,-,-,+,-,+,-,+,-,-,-,s6,1.365228228,0.014463316,3,
-,-,-,-,+,-,+,-,+,+,+,s7,0.9887575,0.014235859,5,
-,-,-,+,-,+,-,-,-,-,-,s9,0.910330912,0.014092432,2,
-,-,+,-,-,-,-,-,-,+,-,qc,1.047528509,0.014050392,2,
-,-,+,-,-,-,-,+,-,+,-,s3,1.079629315,0.013928274,3,
-,-,-,-,-,-,+,-,-,+,+,s3,1.238088284,0.0129838,3,
-,-,-,-,+,+,+,+,+,-,-,qc,1.035198588,0.012876394,5,
-,-,-,-,+,-,-,+,-,-,+,s3,1.00732251,0.012772387,3,
-,-,-,+,-,+,-,-,-,-,+,s4,0.695548772,0.012758756,3,
-,+,+,-,-,-,-,-,-,-,-,s3,1.178212622,0.012464566,2,
-,-,-,+,+,-,-,+,-,+,-,s6,0.768141455,0.012220149,4,
-,-,-,+,-,-,+,-,-,-,-,s1,0.797750438,0.011834659,2,
-,+,-,-,-,-,+,-,-,-,-,s7,0.860321815,0.011708439,2,
-,-,-,-,+,+,-,+,-,-,-,s3,1.134619863,0.011493443,3,
-,+,-,-,+,-,-,-,-,-,-,s2,0.833743309,0.011241176,2,
-,-,-,+,-,+,-,-,-,+,+,s6,0.698874163,0.008919108,4,
-,-,-,-,-,-,+,-,+,-,-,s1,0.942266062,0.008746713,2,
-,-,-,-,-,+,-,-,+,+,-,s6,0.853145769,0.007518394,3,
-,-,+,-,-,+,-,-,-,-,-,s9,1.168122195,0.007479847,2,
-,-,-,+,+,-,-,-,-,-,-,s5,1.188474878,0.007472602,2,
-,-,-,-,-,-,+,-,+,+,+,s5,0.890139073,0.007175877,4,
-,-,-,-,-,+,+,-,-,-,+,s9,0.780886667,0.006532126,3,
-,-,-,+,+,-,-,+,-,+,-,qc,1.038495022,0.006519383,4,
-,-,-,-,-,+,+,+,-,-,-,s3,1.141593594,0.006020912,3,
-,-,-,-,-,-,+,+,-,-,-,s8,1.359345648,0.005931974,2,
-,-,-,-,+,-,-,+,+,+,-,qc,0.85232221,0.005310882,4,
-,-,-,-,-,-,+,+,-,-,-,s1,0.852456449,0.003262784,2,
-,-,+,-,-,-,-,+,-,-,-,s1,0.986752942,0.002983632,2,
-,-,-,+,-,-,-,-,-,-,-,qc,1.219051973,0.002727082,1,
-,-,+,-,-,-,-,-,+,-,+,s4,1.00815868,0.002100342,3,
-,-,-,-,+,+,+,-,-,-,-,s3,1.462409422,0.000147213,3,
-,-,-,-,-,+,-,+,-,-,-,s4,1.039481004,-0.001493937,2,
-,-,-,+,+,+,-,+,-,-,-,s6,0.863003475,-0.001581469,4,
-,-,-,+,+,+,+,-,-,-,-,s7,0.780576862,-0.001601158,4,
-,-,-,+,+,-,-,-,-,-,-,s9,0.989875346,-0.001682208,2,
-,-,-,-,-,+,-,-,-,-,-,s6,0.966690584,-0.002162959,1,
-,-,-,-,+,-,-,-,-,-,-,qc,0.863571353,-0.003774294,1,
-,-,+,-,-,-,-,-,+,+,-,s3,0.573930306,-0.004920452,3,
-,-,-,+,-,-,-,+,+,-,-,s4,0.996168569,-0.005075085,3,
-,-,-,+,-,-,+,+,-,-,-,s4,0.847115681,-0.00513648,3,
-,-,-,-,-,-,+,-,+,-,+,s3,0.944634103,-0.005398078,3,
-,+,-,-,-,-,-,-,-,-,-,s7,0.806908384,-0.005581943,1,
-,-,+,-,-,+,-,-,-,+,-,s4,1.292074852,-0.005778447,3,
-,-,-,-,-,-,+,+,-,+,-,s4,0.933142083,-0.006266179,3,
-,+,-,-,-,-,-,-,+,-,-,s5,1.01699739,-0.006293698,2,
-,-,-,+,-,+,-,-,+,-,-,qc,1.039370614,-0.006313736,3,
-,-,-,+,-,+,-,+,-,-,-,s4,1.034463936,-0.006456668,3,
-,-,+,-,-,-,-,+,+,-,-,s3,1.260003265,-0.007283495,3,
-,-,+,+,-,-,-,-,+,-,-,s5,0.979890794,-0.0078243,3,
-,-,+,-,-,+,-,-,-,-,-,s7,1.181836148,-0.008364178,2,
-,-,+,-,-,-,-,-,-,-,-,s7,1.127953631,-0.008418009,1,
-,-,-,+,-,+,-,+,-,+,-,s6,0.921093634,-0.008729532,4,
-,+,-,-,-,-,-,-,-,-,-,s6,0.943987595,-0.009829488,1,
-,-,-,+,-,+,-,+,-,-,+,s8,0.869169876,-0.011807229,4,
-,-,+,-,-,-,-,+,-,-,-,s6,0.921465043,-0.01213966,2,
-,-,-,-,-,-,-,+,+,-,+,s5,0.926578153,-0.012651152,3,
-,-,-,-,-,+,+,-,+,+,-,s3,1.113135413,-0.013450838,4,
-,-,+,-,-,-,+,-,-,-,-,s3,0.90073816,-0.013524538,2,
-,-,+,-,-,-,+,-,-,-,+,s3,0.921479274,-0.014598837,3,
-,-,-,-,-,+,-,+,+,-,-,s3,1.054580324,-0.014839168,3,
-,-,-,-,-,+,+,+,-,-,-,s9,0.685595442,-0.015974645,3,
-,-,-,-,+,-,-,-,-,+,-,s3,1.139645215,-0.016950951,2,
-,-,-,-,+,-,-,-,+,+,-,qc,1.104452072,-0.017084959,3,
-,-,-,+,-,+,-,+,+,-,-,s4,1.109218272,-0.018588206,4,
-,-,-,+,-,-,+,-,-,-,-,s7,0.982390886,-0.018939296,2,
-,-,-,-,+,+,-,+,+,+,-,s6,0.616471914,-0.020256308,5,
-,-,-,-,-,-,+,+,+,-,-,s5,1.126620591,-0.02069242,3,
-,-,-,-,-,-,-,-,+,-,+,s5,1.034001599,-0.021105917,2,
-,-,-,-,-,-,+,-,-,-,-,s1,0.844081063,-0.02115834,1,
-,-,-,-,-,-,+,-,+,-,-,s3,1.169735083,-0.021579295,2,
-,-,-,+,+,-,-,-,-,-,-,s8,0.967828003,-0.021993878,2,
-,-,-,-,-,+,-,-,+,-,-,s7,0.815482367,-0.022463726,2,
-,-,-,+,+,+,-,-,-,-,-,s7,1.194214078,-0.023170776,3,
-,-,-,-,-,-,+,-,-,-,-,s8,0.779963854,-0.023576657,1,
-,-,-,-,+,-,-,-,+,-,+,s2,0.947892469,-0.025249482,3,
-,-,-,-,-,-,-,-,+,-,-,s3,0.594743619,-0.026343757,1,
-,-,+,-,+,-,-,-,-,-,-,s9,0.816705592,-0.026930373,2,
-,-,-,+,+,-,-,-,+,-,-,s5,1.078812691,-0.027454034,3,
-,-,-,-,+,+,-,-,+,+,+,s6,0.577013061,-0.027523967,5,
-,-,-,-,-,+,-,-,-,-,-,s4,0.970931162,-0.027572783,1,
-,-,-,-,-,+,-,-,-,+,-,qc,1.003274206,-0.027798534,2,
-,+,-,-,-,+,-,-,-,-,-,qc,0.789260973,-0.028146681,2,
-,-,+,+,+,-,-,-,-,-,-,s9,0.831535964,-0.028151867,3,
-,-,-,-,+,-,-,+,-,+,-,s2,1.078797421,-0.028722058,3,
-,-,-,-,-,+,-,-,-,-,-,qc,1.044703818,-0.029223413,1,
-,-,-,+,-,+,+,-,-,-,+,s9,1.381151884,-0.029783291,4,
-,+,-,-,-,-,-,+,-,-,-,s3,1.02457374,-0.030152197,2,
-,-,+,-,+,-,-,-,-,-,-,s1,1.067524248,-0.030433786,2,
-,-,+,-,-,+,-,-,-,-,-,qc,1.108360394,-0.030600181,2,
-,-,-,-,+,-,+,-,-,-,+,s9,1.151145139,-0.031244558,3,
-,-,-,-,+,+,-,-,+,+,-,s7,1.208792671,-0.031363976,4,
-,-,-,+,-,-,+,-,-,-,-,s4,0.742108191,-0.032290936,2,
-,-,-,-,+,-,-,-,-,+,-,s6,0.873059017,-0.032737302,2,
-,-,-,-,-,-,+,+,+,-,-,qc,0.843412977,-0.032899261,3,
-,-,-,+,+,-,-,-,-,+,-,s5,1.170176526,-0.033567649,3,
-,-,-,-,-,-,-,+,-,+,+,s6,1.263881982,-0.03368964,3,
-,-,-,-,+,-,+,-,-,+,-,s3,0.726995142,-0.034491013,3,
-,-,-,-,-,-,-,+,-,-,-,s6,1.095055553,-0.035604898,1,
-,-,-,-,-,-,+,-,+,-,-,s4,1.022675936,-0.035708913,2,
-,-,-,-,-,-,-,+,+,-,-,s1,0.959152746,-0.036045153,2,
-,-,-,-,-,+,-,-,-,-,-,s8,0.890956603,-0.037169323,1,
-,-,-,-,-,+,+,-,-,+,+,s4,0.909572476,-0.037986448,4,
-,-,-,+,-,-,-,-,-,-,-,s2,0.856250332,-0.038513958,1,
-,-,-,-,-,+,+,-,+,+,-,s4,1.113363617,-0.038623341,4,
-,-,-,-,-,-,-,+,+,+,+,s6,0.948899568,-0.039181016,4,
-,-,+,+,-,+,-,-,-,-,-,s6,1.011589766,-0.039222417,3,
-,-,-,+,-,-,-,-,-,+,-,s4,1.057353729,-0.039481853,2,
-,-,-,-,-,+,-,+,-,-,-,s6,0.825645353,-0.039984284,2,
-,-,-,-,+,-,-,-,+,+,-,s5,0.933029628,-0.040084641,3,
-,+,-,-,-,-,-,+,-,-,-,s9,0.877412984,-0.040440966,2,
+,-,-,-,-,-,-,-,-,-,-,s6,1.109094627,-0.040880149,1,
-,-,-,-,-,+,-,-,+,-,-,s1,0.986811222,-0.041132068,2,
-,-,-,+,-,-,-,-,+,-,-,qc,0.955934197,-0.041559303,2,
-,+,-,+,-,-,-,-,-,-,-,s7,1.095598119,-0.041771194,2,
-,-,-,-,-,-,-,-,+,-,-,qc,1.117198935,-0.041979359,1,
-,-,-,+,+,-,-,-,-,-,+,s6,0.892641706,-0.042535729,3,
-,-,-,+,-,-,-,+,+,+,-,qc,1.140265065,-0.043051856,4,
-,-,-,-,-,+,-,-,-,+,+,s7,0.727028415,-0.043599679,3,
-,-,-,-,+,-,-,-,+,+,+,s5,0.898329696,-0.045523066,4,
-,-,-,-,-,-,-,-,+,+,-,s2,0.79741682,-0.045886967,2,
-,-,+,+,+,-,-,-,-,-,-,qc,1.163507337,-0.046084094,3,
-,+,-,-,-,-,-,+,-,-,-,qc,0.857217171,-0.047265353,2,
-,-,-,-,+,-,-,-,-,-,-,s9,0.699662632,-0.048602677,1,
-,-,-,-,-,+,-,-,-,-,-,s3,0.912782499,-0.049279641,1,
-,-,-,-,+,-,-,+,-,+,-,qc,1.375395791,-0.049405546,3,
-,-,-,-,-,+,+,-,+,-,+,s7,0.914884868,-0.049504881,4,
-,-,+,-,-,-,+,+,-,-,-,s3,0.955316121,-0.051049028,3,
-,-,-,-,+,+,+,-,+,-,-,s7,0.829354121,-0.051072042,4,
-,-,-,+,-,-,-,-,+,+,-,qc,1.246807652,-0.051620552,3,
-,-,-,+,+,-,-,-,-,-,+,s9,0.950774115,-0.052761583,3,
-,-,-,+,+,-,-,-,+,-,-,s9,0.78881077,-0.053218636,3,
-,-,-,-,-,-,-,+,+,-,-,s4,1.297697679,-0.053316955,2,
-,-,-,-,+,+,-,-,-,-,+,s8,1.004650611,-0.053680047,3,
-,-,-,-,-,+,+,-,-,-,-,s9,1.268099498,-0.054077607,2,
-,-,-,-,-,+,+,-,-,-,+,s3,0.740847719,-0.054202791,3,
-,-,-,-,-,+,+,+,-,+,-,s3,1.251341003,-0.054368602,4,
-,-,-,-,-,-,+,-,-,+,-,qc,1.35037238,-0.054512921,2,
-,-,-,-,-,+,-,+,-,+,-,s4,0.942314675,-0.05486833,3,
-,-,-,-,-,-,-,-,+,-,+,s0,0.842095865,-0.05569552,2,
-,-,+,-,-,+,-,-,-,-,+,s9,0.772010841,-0.055725806,3,
-,+,-,-,-,-,-,-,-,-,-,qc,1.066946555,-0.055873499,1,
-,+,-,-,-,-,-,+,-,-,-,s8,0.799124424,-0.055892559,2,
-,-,-,+,-,-,-,-,-,+,+,s4,0.818816596,-0.057637504,3,
-,+,-,-,-,-,-,-,-,-,-,s2,1.001638392,-0.058272117,1,
-,-,-,+,-,-,-,-,-,+,-,s7,1.288355824,-0.05861714,2,
-,-,-,-,+,+,-,+,-,-,-,qc,1.118841387,-0.058912584,3,
-,-,-,-,-,+,-,+,+,-,-,s4,0.873881519,-0.058942597,3,
-,-,-,-,-,+,-,+,+,+,-,s4,1.326791928,-0.059105237,4,
-,-,-,-,+,+,-,-,-,+,+,s6,0.800884542,-0.059416089,4,
-,-,-,-,-,-,-,+,+,-,-,qc,1.147335307,-0.06131406,2,
-,-,-,-,-,-,+,+,+,-,+,s3,1.448278635,-0.065267532,4,
-,-,-,-,-,-,-,-,-,+,-,qc,1.012850588,-0.065801526,1,
-,+,-,-,-,-,-,+,-,-,-,s4,0.947836656,-0.066126671,2,
-,-,-,-,+,-,-,-,+,-,-,qc,1.370057426,-0.066539512,2,
-,-,-,-,+,-,-,+,-,+,-,s5,1.176041243,-0.067393101,3,
-,-,+,-,-,-,-,-,-,-,+,s4,0.849545276,-0.067988353,2,
-,-,-,-,+,+,+,-,-,+,-,s3,0.821558251,-0.068453603,4,
-,+,-,-,+,-,-,-,-,-,-,s9,1.131114799,-0.068967519,2,
-,-,-,+,-,+,-,-,+,+,-,qc,1.022169899,-0.068984059,4,
-,-,-,+,-,-,-,-,-,+,-,s5,1.082943055,-0.069436994,2,
-,-,-,+,-,-,+,-,+,-,-,s4,1.164949279,-0.069765642,3,
-,-,-,-,+,+,+,-,-,-,-,qc,1.417696714,-0.07053827,3,
-,-,-,-,+,-,-,-,-,-,-,s7,0.952981976,-0.070805959,1,
-,+,-,-,-,-,+,-,-,-,-,s8,0.920611098,-0.071690345,2,
-,-,-,-,-,-,-,-,-,+,-,s4,0.971019406,-0.07169178,1,
-,-,-,+,-,-,+,-,+,-,-,qc,1.08071033,-0.071793649,3,
-,-,-,+,-,-,-,-,-,+,+,s6,1.183003171,-0.072734765,3,
-,-,-,-,-,-,-,-,-,-,+,s7,1.306714708,-0.073702281,1,
-,-,-,-,+,+,-,-,-,-,-,s7,1.271786512,-0.076180513,2,
-,-,-,+,-,-,+,-,-,-,+,s8,0.820430414,-0.076682485,3,
-,+,-,-,-,-,-,-,+,-,-,s6,0.816951234,-0.076809696,2,
-,-,+,-,-,-,-,+,+,-,-,s4,1.085811554,-0.078736629,3,
-,-,+,-,-,-,-,-,-,-,+,s0,0.936266145,-0.078954044,2,
-,-,-,-,-,-,-,-,+,-,+,s3,1.07791625,-0.080003614,2,
-,-,-,-,+,+,-,-,+,-,-,s2,0.993943957,-0.080059483,3,
-,-,-,+,-,+,+,-,+,-,-,s4,0.869304659,-0.080549484,4,
-,-,-,+,-,+,-,-,-,-,+,s2,1.25193705,-0.080783772,3,
-,-,-,-,-,-,-,+,-,-,-,qc,1.010403823,-0.081801102,1,
-,-,-,-,-,+,-,-,-,-,-,s9,0.880183784,-0.082663545,1,
-,-,+,+,-,-,-,-,+,-,-,qc,1.112459909,-0.082701514,3,
-,-,-,-,-,-,-,+,+,+,-,s4,0.77879144,-0.083318247,3,
-,-,-,-,+,-,+,+,-,-,-,s9,1.469738867,-0.084255414,3,
-,-,-,+,-,-,-,+,+,-,+,s6,1.267227445,-0.084491913,4,
-,-,+,-,-,+,-,-,-,-,-,s8,1.034492507,-0.084978301,2,
-,-,+,-,-,+,+,-,-,-,-,s8,1.203235266,-0.085252817,3,
-,-,-,-,-,+,+,-,+,-,-,s4,1.071906895,-0.085567272,3,
-,-,+,-,-,-,-,-,-,-,+,s1,1.202601776,-0.086821755,2,
-,-,-,+,-,+,-,-,+,-,-,s4,1.050740645,-0.087557394,3,
-,-,-,-,-,-,+,+,-,-,-,qc,1.002267196,-0.088292122,2,
-,+,-,+,-,-,-,-,-,-,-,s6,0.64101175,-0.088947799,2,
-,-,-,-,-,-,-,+,-,-,+,s2,1.131158925,-0.089211743,2,
-,-,-,+,-,-,-,-,-,+,-,qc,1.108433243,-0.089426643,2,
-,-,-,-,-,+,-,-,-,+,-,s7,0.768296683,-0.089527355,2,
-,-,-,+,-,+,-,-,+,-,+,s4,0.899761529,-0.08960113,4,
-,-,-,-,+,-,-,-,+,+,-,s6,1.092744301,-0.092191777,3,
-,-,+,+,-,-,+,-,-,-,-,s8,0.927183624,-0.092504173,3,
-,-,-,-,-,-,-,+,-,-,+,s5,0.943171424,-0.093275732,2,
-,-,-,-,+,-,-,+,-,-,-,qc,1.167524846,-0.093495151,2,
-,-,-,-,-,-,-,-,+,+,-,s4,1.033541248,-0.09383538,2,
