s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,-,-,+,-,+,-,-,-,-,s8,0.941306559,-0.094134295,2,
-,-,-,-,-,-,-,-,-,+,+,s6,1.06604342,-0.09516353,2,
-,-,+,+,-,-,-,+,-,-,-,s6,1.057459885,-0.096263008,3,
-,-,+,-,-,-,-,-,-,-,-,s3,1.157616961,-0.096357167,1,
-,-,-,+,-,-,-,-,-,-,+,s9,1.130887302,-0.096693764,2,
-,-,-,-,+,-,-,+,+,+,-,s3,0.779352274,-0.097033816,4,
-,-,-,-,+,-,+,-,-,-,+,s2,1.153165899,-0.099638518,3,
-,+,-,-,-,-,-,-,+,-,-,qc,1.06505714,-0.101289166,2,
-,-,-,-,+,-,+,-,-,+,-,qc,1.155766093,-0.10136118,3,
-,-,-,+,-,-,-,+,+,-,-,s6,1.117891439,-0.102398661,3,
-,-,+,-,-,-,+,-,-,-,+,s7,1.648660674,-0.103358308,3,
-,-,-,-,-,+,-,-,-,+,-,s4,1.300561268,-0.103754891,2,
-,-,+,-,+,-,-,+,-,-,-,qc,0.908650965,-0.104549917,3,
-,-,-,-,-,-,-,-,-,-,+,s6,0.779396456,-0.105270412,1,
-,-,-,+,-,-,+,+,+,-,-,qc,1.194417719,-0.108383015,4,
-,-,-,+,+,-,-,-,-,-,-,s2,0.964237192,-0.109033685,2,
-,-,-,-,+,+,+,-,+,-,-,qc,1.288445341,-0.11075754,4,
-,-,-,-,-,-,-,-,-,-,+,s1,1.101619509,-0.113077686,1,
-,-,-,+,+,-,-,-,-,+,-,s7,1.802689075,-0.113150218,3,
-,-,+,-,-,-,-,-,+,-,-,s6,1.186832863,-0.113837122,2,
-,+,-,-,+,-,-,-,-,-,-,qc,1.270694626,-0.115673562,2,
-,-,-,+,-,+,+,-,-,-,-,qc,1.147791269,-0.117178453,3,
-,-,-,-,-,-,-,-,-,+,-,s7,0.685089734,-0.118031647,1,
-,-,-,-,+,+,-,-,-,-,+,s6,0.988418294,-0.118126938,3,
-,-,-,-,-,-,-,-,-,+,-,s6,1.249391089,-0.119185421,1,
-,-,-,-,-,-,+,+,+,+,-,s4,0.924294494,-0.119310276,4,
-,-,-,-,-,+,+,-,-,-,+,s8,1.281462125,-0.120507328,3,
-,-,+,-,+,-,-,-,-,-,+,s5,0.817659197,-0.120525289,3,
-,-,-,-,-,+,+,-,-,+,-,s4,1.220851189,-0.121100017,3,
-,-,+,-,+,-,-,-,+,-,-,s6,0.947803971,-0.121152749,3,
-,-,-,+,+,-,+,-,-,-,-,s2,1.023279028,-0.121718581,3,
-,-,+,-,-,-,-,-,-,+,-,s1,1.117004747,-0.12361797,2,
-,-,-,-,-,+,+,+,-,-,-,s2,1.404862838,-0.12402329,3,
-,-,-,-,-,+,+,+,-,-,-,s4,1.129179306,-0.124197288,3,
-,-,+,-,+,+,-,-,-,-,-,qc,0.918268231,-0.124685061,3,
-,+,-,-,-,-,-,-,-,-,+,s6,1.082215846,-0.125087738,2,
-,-,+,+,-,-,+,-,-,-,-,s5,0.965372594,-0.126817232,3,
-,-,+,+,-,-,-,-,+,-,-,s4,1.01941455,-0.127088699,3,
-,-,-,+,-,-,-,+,-,+,-,s6,1.317572892,-0.127577494,3,
-,-,-,+,+,-,-,-,+,+,-,qc,0.891181851,-0.127841849,4,
-,-,+,+,-,-,-,-,-,-,-,s9,0.970771091,-0.129702597,2,
-,-,+,+,-,-,-,-,-,-,-,qc,1.016216397,-0.129714842,2,
-,+,-,+,-,-,-,-,-,-,-,s9,1.334385893,-0.130552594,2,
-,-,+,+,-,-,-,-,-,+,-,s6,1.143795067,-0.131723263,3,
-,-,-,+,-,+,+,-,-,-,-,s7,1.05717301,-0.132197055,3,
-,-,-,-,-,+,+,+,-,-,-,qc,1.277748779,-0.132315083,3,
-,-,+,+,-,-,+,-,-,-,-,qc,1.148616387,-0.132847968,3,
-,-,+,-,-,+,-,-,-,-,-,s1,0.936585022,-0.133068432,2,
-,-,+,-,-,+,-,-,-,-,+,s7,0.882211381,-0.133782778,3,
-,+,-,-,-,-,-,-,-,+,-,s2,1.046565877,-0.133944229,2,
+,-,-,-,-,-,-,-,-,-,-,s5,0.976322693,-0.134322658,1,
-,-,+,-,+,-,-,-,-,-,-,s8,1.369186751,-0.134337359,2,
-,-,-,-,-,-,-,-,+,+,-,s5,1.026667461,-0.134388543,2,
-,-,+,-,-,+,+,-,-,-,-,qc,1.398334185,-0.134760877,3,
-,-,-,-,+,-,-,-,+,-,-,s7,0.745297045,-0.135201127,2,
-,-,-,+,-,+,+,+,-,-,-,s9,1.157445913,-0.136375519,4,
-,-,-,-,+,+,+,-,-,-,+,s7,1.207154195,-0.137327861,4,
-,-,-,-,+,+,+,-,-,+,-,s7,0.726318793,-0.137902762,4,
-,-,-,+,-,+,+,-,-,-,+,s7,1.308025228,-0.138469724,4,
-,-,-,+,-,+,-,-,+,-,-,s6,1.225708379,-0.138738765,3,
-,-,-,+,-,-,-,-,+,+,-,s2,0.703694023,-0.141683191,3,
-,-,-,-,+,-,-,-,+,-,-,s5,0.991862116,-0.141804588,2,
-,-,-,-,+,-,-,-,-,+,-,s2,1.051113408,-0.142182109,2,
-,+,-,-,-,-,-,+,-,-,-,s2,0.983814415,-0.142802973,2,
-,-,-,-,-,+,-,-,-,+,-,s3,1.219707449,-0.143097541,2,
-,-,+,+,-,+,-,-,-,-,-,s8,1.203920959,-0.144639215,3,
-,-,+,-,+,-,-,-,-,-,+,s7,1.565118027,-0.14529656,3,
-,-,-,+,+,-,-,+,-,-,-,s8,1.092017086,-0.145310222,3,
-,-,+,-,+,-,-,-,-,-,-,qc,0.743118078,-0.14630573,2,
-,-,+,-,-,-,-,-,-,-,-,qc,1.309645758,-0.146907165,1,
-,+,-,-,-,+,-,-,-,-,-,s3,0.668747703,-0.148530165,2,
-,-,-,-,+,-,+,+,-,+,-,qc,1.198821583,-0.148869812,4,
-,-,-,-,-,-,-,+,+,+,-,s6,0.893469317,-0.148943314,3,
-,-,-,-,-,+,+,-,-,-,-,s2,1.092453909,-0.149026167,2,
-,-,-,-,-,-,-,+,+,+,-,qc,1.258277838,-0.149526357,3,
-,-,-,-,-,-,-,-,+,-,+,s6,1.081866523,-0.149826421,2,
-,-,-,-,-,-,+,-,-,-,-,qc,1.009241984,-0.150865553,1,
-,-,-,+,-,-,-,+,-,+,-,qc,1.008853165,-0.150882597,3,
-,-,-,-,+,-,+,-,-,-,+,s7,1.186758097,-0.151074744,3,
-,+,-,-,-,-,-,-,-,-,-,s4,1.010560143,-0.152532261,1,
-,-,-,-,+,+,-,+,+,-,-,qc,0.989103205,-0.153817931,4,
-,-,-,-,-,-,-,-,+,+,+,s6,0.864052468,-0.154353128,3,
-,-,-,-,+,-,-,+,+,+,+,s6,0.923455712,-0.155300369,5,
-,-,-,+,+,-,+,-,+,-,-,qc,1.014506809,-0.155739675,4,
-,-,-,+,-,+,-,+,-,-,-,s2,1.256920433,-0.16067733,3,
-,-,-,+,-,-,+,+,-,-,-,s9,1.071841281,-0.160826702,3,
-,-,+,-,-,+,-,+,-,-,-,s9,1.122910914,-0.161049883,3,
-,-,+,-,+,-,-,-,-,+,-,qc,1.080690428,-0.162319908,3,
-,-,-,-,-,+,+,-,-,-,-,s3,0.978738644,-0.162322955,2,
-,-,-,+,+,+,-,-,-,-,-,s2,0.966788005,-0.163520452,3,
+,-,-,-,-,-,-,-,-,-,-,qc,1.207378443,-0.165094679,1,
-,-,-,-,+,+,-,-,-,-,+,s2,0.913533956,-0.165470523,3,
-,-,-,-,+,+,-,+,-,-,-,s9,0.991224032,-0.166079393,3,
-,-,-,-,+,+,-,-,+,+,-,qc,1.253643041,-0.168399044,4,
-,-,-,+,-,+,-,-,-,-,+,s8,0.761895102,-0.168492251,3,
-,-,-,+,-,+,+,-,-,-,-,s4,1.052771971,-0.169469598,3,
-,-,-,+,-,+,-,-,-,+,-,qc,1.129580561,-0.169474071,3,
-,-,-,+,-,-,+,-,-,+,-,s2,1.271914146,-0.16989886,3,
-,-,-,-,+,+,+,-,-,-,-,s9,1.175521545,-0.170581893,3,
-,-,-,-,+,-,-,-,-,+,+,s7,1.03188218,-0.170655958,3,
-,-,+,-,-,-,+,-,+,-,-,s3,1.122339364,-0.171095038,3,
-,-,-,+,-,-,+,-,+,-,+,s7,0.986726604,-0.172810694,4,
-,+,-,-,-,-,-,-,-,+,-,s4,0.980671832,-0.173228867,2,
-,-,-,+,+,-,+,-,+,-,-,s7,0.718947799,-0.173286289,4,
-,-,-,+,+,-,-,-,-,-,-,s6,1.193040013,-0.173370498,2,
-,-,-,+,-,+,-,-,-,+,-,s7,1.006059221,-0.173739182,3,
-,-,-,-,+,-,+,+,-,-,-,qc,1.019555148,-0.173741015,3,
-,+,-,+,-,-,-,-,-,-,-,qc,0.808828952,-0.17604927,2,
-,-,-,+,-,-,-,+,-,+,-,s2,1.058202891,-0.17726406,3,
-,-,-,-,-,-,+,+,-,-,-,s2,0.983336456,-0.177371344,2,
-,-,-,-,+,+,-,+,+,+,-,qc,1.10430605,-0.178240234,5,
-,-,+,+,-,-,-,-,-,-,-,s4,1.114046751,-0.179037367,2,
-,-,-,-,-,+,-,+,-,+,-,s3,1.380655015,-0.179946382,3,
-,-,-,+,+,-,-,-,-,+,+,s7,0.593060586,-0.181098682,4,
-,-,-,-,-,+,+,-,+,+,+,s4,0.641982817,-0.183681372,5,
-,-,-,+,+,-,-,-,+,-,-,qc,1.1130789,-0.185536146,3,
-,-,+,-,-,-,-,-,+,-,-,s3,1.074338343,-0.186544699,2,
-,-,+,-,-,-,-,-,+,-,+,s5,1.264834879,-0.188829426,3,
-,-,-,+,-,+,-,-,-,+,-,s4,1.186984191,-0.189936213,3,
-,-,-,+,-,-,-,+,-,-,+,s4,0.999122885,-0.191513025,3,
-,-,-,-,-,-,+,-,-,-,-,s3,0.996749011,-0.192589407,1,
-,-,-,-,-,-,-,-,+,-,-,s2,0.99126993,-0.192984222,1,
-,-,-,+,+,+,-,+,-,-,-,s9,0.97436179,-0.193559109,4,
-,-,+,-,-,+,+,-,-,-,-,s9,1.43858292,-0.195787905,3,
-,-,-,+,-,+,+,+,-,-,-,s8,0.910329346,-0.196692057,4,
-,-,-,-,+,+,-,-,-,-,-,s2,1.225750637,-0.197571305,2,
-,-,-,+,-,-,+,+,-,+,-,qc,1.513410937,-0.198057376,4,
-,-,-,+,+,+,-,-,+,-,-,qc,1.276346503,-0.198398658,4,
-,-,-,+,-,+,+,-,-,-,-,s8,1.16837516,-0.199357155,3,
-,-,-,+,-,-,-,+,+,+,-,s6,1.083116137,-0.199515113,4,
-,-,+,-,-,-,-,-,-,-,-,s8,1.385452871,-0.200571678,1,
-,-,-,+,-,-,-,+,-,-,-,s6,1.401525306,-0.202910579,2,
-,-,+,-,-,-,+,-,-,+,-,s4,1.224638032,-0.204568316,3,
-,-,-,+,-,-,-,+,+,-,-,qc,1.378591288,-0.205760844,3,
-,-,-,-,-,-,+,-,-,-,-,s9,1.179645471,-0.206053988,1,
-,-,-,-,+,-,+,-,+,-,-,qc,1.447585515,-0.207564691,3,
-,-,-,+,-,+,-,+,-,-,-,s9,0.983447422,-0.209682218,3,
-,-,+,-,-,-,-,+,-,-,-,qc,1.561349399,-0.20969838,2,
-,-,+,+,-,-,-,-,-,+,-,qc,1.165829273,-0.211031063,3,
-,-,-,-,+,-,+,+,-,-,-,s8,1.156206798,-0.212632551,3,
-,-,-,+,+,-,-,-,-,+,-,s2,0.613931363,-0.21423357,3,
-,-,-,+,-,+,-,+,-,+,-,qc,1.394907405,-0.214559418,4,
-,-,-,-,-,+,-,+,-,+,-,qc,0.878081704,-0.214833836,3,
-,-,+,-,+,-,-,-,-,+,-,s5,0.995929952,-0.216225044,3,
-,-,+,-,-,-,+,-,-,-,-,s9,1.144372163,-0.21716808,2,
-,-,+,-,+,-,-,-,-,-,-,s5,0.772123957,-0.217714802,2,
-,-,-,+,-,+,-,-,-,-,-,qc,1.040198306,-0.218005565,2,
-,-,+,-,-,-,-,-,-,-,-,s1,1.053904961,-0.219707182,1,
-,-,-,-,+,+,+,-,+,+,-,qc,1.530254108,-0.221775162,5,
-,-,-,-,+,+,-,-,-,-,-,s1,1.199100279,-0.221776522,2,
-,-,-,-,-,-,-,+,+,+,-,s5,0.772473523,-0.223069991,3,
-,-,-,-,+,-,-,+,-,-,+,s2,1.179165552,-0.223700942,3,
-,-,-,-,-,-,-,-,+,+,-,qc,1.575792922,-0.223909744,2,
-,-,-,-,+,-,-,+,+,-,+,s6,1.052955396,-0.224924158,4,
-,+,-,-,-,+,-,-,-,-,-,s8,1.522197035,-0.225634084,2,
-,-,-,-,+,+,+,+,-,+,-,qc,1.161709239,-0.227059548,5,
-,-,-,-,+,+,-,+,-,+,-,s6,0.989635188,-0.229757658,4,
-,+,-,-,+,-,-,-,-,-,-,s6,0.9310635,-0.23051518,2,
-,-,-,-,+,-,+,-,-,-,-,s1,1.069410897,-0.230589209,2,
-,-,-,+,-,+,+,-,-,-,-,s9,1.459802431,-0.233290035,3,
-,-,+,-,+,+,-,-,-,-,-,s9,0.613241154,-0.235843455,3,
-,-,-,-,-,-,-,+,+,-,-,s6,1.013642697,-0.237711546,2,
-,-,-,-,-,-,-,-,+,-,-,s4,0.901032801,-0.238699848,1,
-,-,+,+,+,-,-,-,-,-,-,s8,1.28386624,-0.238934807,3,
-,-,-,-,-,-,+,+,+,-,-,s4,0.936522869,-0.239469629,3,
-,+,-,-,-,-,-,-,-,-,-,s8,1.186655376,-0.239521553,1,
-,-,-,-,+,-,-,+,-,+,+,s5,1.152445668,-0.240590882,4,
-,-,+,-,-,-,-,+,-,-,+,s3,1.386615725,-0.241189626,3,
-,-,-,-,-,+,-,-,+,+,-,qc,1.583739749,-0.241828223,3,
-,-,-,+,-,+,+,+,-,-,-,s4,0.946799533,-0.242577328,4,
-,-,-,-,-,+,-,+,+,+,-,s6,1.00992508,-0.246576183,4,
-,-,-,-,-,+,-,-,-,+,-,s2,0.984504401,-0.246652832,2,
-,-,+,-,-,-,+,-,-,-,-,qc,1.447759155,-0.247206063,2,
-,-,-,-,-,+,+,+,-,+,-,qc,1.429758117,-0.247231123,4,
-,-,+,-,-,-,-,-,-,+,+,s5,1.437462112,-0.249854433,3,
-,-,-,-,-,+,+,-,+,-,-,qc,1.080803759,-0.254122066,3,
-,-,-,+,-,-,+,-,+,-,-,s2,1.055688546,-0.254357442,3,
-,-,-,+,+,-,-,-,-,+,+,s5,0.830830394,-0.255088517,4,
-,-,-,+,+,+,+,-,-,-,-,s9,1.446061923,-0.258403694,4,
-,-,+,-,-,+,+,-,-,-,-,s7,0.98071412,-0.258408295,3,
-,-,+,-,-,-,-,-,+,-,-,qc,1.410345345,-0.258788772,2,
-,-,-,-,+,-,+,-,+,+,-,qc,1.079844772,-0.259453684,4,
-,-,+,-,-,-,-,-,-,+,-,s3,1.385584415,-0.26470911,2,
-,+,-,-,+,-,-,-,-,-,-,s8,1.064417437,-0.267734984,2,
-,-,-,+,+,-,-,-,-,+,-,qc,1.05660868,-0.268574644,3,
-,-,-,-,+,-,-,-,-,-,+,s7,1.575203218,-0.268960262,2,
-,-,-,-,+,+,-,-,-,-,-,s9,1.356465811,-0.269805088,2,
-,-,-,-,-,-,+,-,+,+,-,qc,1.213874057,-0.270009187,3,
-,-,-,-,-,+,+,-,+,-,-,s2,1.072706912,-0.272152248,3,
-,-,+,-,-,+,-,-,-,+,-,qc,1.197444418,-0.273750743,3,
-,-,+,-,+,-,-,-,+,-,-,s7,0.739164164,-0.274558278,3,
-,-,+,-,-,-,-,-,-,-,+,s7,0.789310833,-0.275461796,2,
-,-,-,+,-,+,+,-,-,+,-,qc,1.331443648,-0.276658722,4,
-,-,-,-,+,-,+,-,-,-,-,s9,1.433099498,-0.277084351,2,
-,-,+,-,+,-,+,-,-,-,-,s7,0.890864751,-0.27877556,3,
-,-,-,-,-,+,+,-,-,-,-,s8,0.971752047,-0.283987481,2,
-,-,-,-,-,-,-,+,-,+,+,s2,0.935515045,-0.284715237,3,
-,-,-,-,+,+,-,+,+,-,-,s6,1.08712081,-0.285949965,4,
-,+,-,+,-,-,-,-,-,-,-,s8,1.360377182,-0.287059053,2,
-,-,-,+,+,-,+,+,-,-,-,qc,1.44451064,-0.288991417,4,
-,-,-,-,+,-,-,-,-,+,-,s5,1.354543521,-0.290058243,2,
-,-,-,-,-,+,+,-,-,+,-,s3,1.124196518,-0.29230843,3,
-,-,-,+,-,+,-,-,-,-,-,s8,0.978894063,-0.293424311,2,
-,-,-,-,-,+,-,-,+,-,-,s2,1.074230126,-0.29365906,2,
-,-,-,-,+,-,-,+,+,-,-,qc,1.559646475,-0.293822621,3,
-,-,+,+,-,+,-,-,-,-,-,qc,1.343909179,-0.296507637,3,
-,-,-,-,-,-,+,-,-,+,-,s4,1.182249763,-0.298724567,2,
-,-,+,-,-,-,-,-,+,+,-,s5,1.362694854,-0.299671145,3,
-,-,-,-,-,-,+,-,-,-,+,s7,0.892888245,-0.299827831,2,
-,-,-,-,-,+,-,+,+,-,-,qc,1.283331224,-0.300675167,3,
-,-,-,+,+,+,+,-,-,-,-,qc,1.210410529,-0.302045097,4,
-,-,+,-,-,+,-,-,+,-,-,s4,1.255567869,-0.302428737,3,
-,-,-,-,-,+,+,+,-,-,-,s8,1.251141908,-0.305117324,3,
-,-,+,+,-,-,-,-,-,-,-,s8,0.736731325,-0.30612228,2,
-,-,+,-,+,-,+,-,-,-,-,qc,1.36161491,-0.31307198,3,
-,-,-,-,+,+,+,-,-,+,-,qc,1.119594581,-0.314479657,4,
-,-,-,-,-,+,+,+,+,-,-,s3,1.445528897,-0.3160775,4,
-,-,-,+,-,+,-,+,+,-,-,qc,1.625306443,-0.317499632,4,
-,+,-,-,-,-,-,-,-,+,-,qc,1.209447153,-0.318878187,2,
-,-,+,-,-,-,-,+,-,+,-,qc,1.561042042,-0.322804944,3,
-,-,+,-,-,-,-,-,-,-,+,s5,1.674888297,-0.323850954,2,
-,-,-,-,-,-,-,-,+,+,+,s5,1.411031575,-0.326240986,3,
-,-,-,-,-,-,-,-,+,+,-,s6,0.941642897,-0.326434471,2,
-,-,-,+,-,+,-,-,-,-,-,s4,1.245521901,-0.33015911,2,
-,-,-,-,+,-,+,+,+,+,-,qc,1.456740672,-0.334196594,5,
-,-,+,-,-,+,-,+,-,-,-,qc,0.945697377,-0.335487507,3,
-,-,+,-,-,+,-,-,-,+,-,s7,1.324037325,-0.341162411,3,
-,+,+,-,-,-,-,-,-,-,-,qc,1.501229615,-0.36239921,2,
-,-,+,+,-,-,-,+,-,-,-,qc,1.573890754,-0.364039191,3,
-,-,-,-,+,+,+,+,-,-,-,qc,1.365868889,-0.364654284,4,
-,-,-,+,-,-,+,-,-,+,-,qc,1.363150621,-0.369824771,3,
-,-,+,+,-,-,-,+,-,-,-,s9,0.766763964,-0.37069579,3,
-,-,-,-,+,+,-,+,-,-,+,s3,1.048751804,-0.373879193,4,
-,-,-,+,-,+,-,-,-,-,-,s2,1.398321646,-0.375522515,2,
-,-,-,-,+,-,-,-,-,+,+,s5,1.39274447,-0.378086116,3,
-,-,-,+,-,-,+,+,-,-,-,qc,1.518341617,-0.381088019,3,
-,-,+,-,+,-,-,-,-,-,-,s7,1.47134507,-0.381489557,2,
-,+,-,-,-,-,-,-,+,-,-,s7,1.037529567,-0.385341817,2,
-,-,-,-,-,+,-,+,-,-,-,qc,0.983668688,-0.394297268,2,
-,-,-,+,+,+,+,-,-,-,-,s8,1.19962455,-0.394392028,4,
-,-,-,-,+,-,-,-,+,-,+,s5,1.27680312,-0.395409709,3,
-,-,+,-,+,-,-,-,+,-,-,s5,1.028532684,-0.399003177,3,
-,-,-,-,-,+,-,-,+,-,-,qc,1.339224395,-0.400448837,2,
-,-,-,+,+,-,+,-,-,+,-,qc,1.115031485,-0.404466513,4,
-,-,+,+,+,-,-,-,-,-,-,s7,0.997475683,-0.404839287,3,
-,-,+,-,-,-,-,-,-,-,+,s6,1.394151861,-0.404860835,2,
-,-,-,-,-,-,+,-,+,+,-,s2,1.082998613,-0.408592449,3,
-,-,-,+,+,-,-,-,+,-,+,s6,1.265420334,-0.410937158,4,
+,-,-,-,-,-,-,-,-,-,-,s3,1.079504585,-0.412876635,1,
-,-,-,-,-,-,+,+,+,+,-,qc,1.35466191,-0.417423122,4,
-,-,-,-,-,+,+,-,-,-,-,s1,1.106435011,-0.417956302,2,
-,-,+,-,+,-,+,-,-,-,-,s9,1.240524912,-0.421324358,3,
-,-,+,-,-,-,+,+,-,-,-,qc,1.556627104,-0.421686497,3,
-,-,-,+,-,-,-,-,+,+,-,s6,1.150789791,-0.424021034,3,
-,+,+,-,-,-,-,-,-,-,-,s8,1.358070509,-0.424347711,2,
-,-,-,+,-,+,+,+,-,-,-,qc,1.235541832,-0.427310498,4,
-,-,-,-,+,-,+,+,+,-,-,qc,1.359317719,-0.429049722,4,
-,-,-,-,-,-,-,+,-,+,-,qc,1.238431073,-0.43035824,2,
-,-,-,-,-,-,-,-,-,+,+,s7,1.11506224,-0.430797767,2,
-,-,-,-,+,-,+,-,+,+,-,s7,0.947325783,-0.432312003,4,
-,-,+,-,-,-,-,+,-,-,+,s4,0.968984729,-0.437173696,3,
-,-,-,+,-,-,-,-,-,+,-,s2,1.262156936,-0.444579333,2,
-,-,-,-,+,+,-,-,-,+,-,s2,1.277512423,-0.445337641,3,
-,-,-,+,-,+,+,-,-,+,-,s4,0.921667508,-0.44928794,4,
-,-,-,+,-,-,-,+,-,-,-,qc,1.501158543,-0.453199035,2,
-,-,-,-,+,-,+,+,+,-,+,s5,1.288532452,-0.45332358,5,
-,-,-,-,-,+,+,-,-,+,-,qc,1.365587418,-0.457241966,3,
-,-,-,+,-,+,-,-,-,+,-,s2,1.314139838,-0.458524464,3,
-,-,-,+,-,-,+,-,-,-,-,qc,1.5392978,-0.467226484,2,
-,-,+,-,-,-,+,-,-,+,-,qc,1.491325626,-0.472293752,3,
-,-,+,-,+,-,-,+,-,-,-,s6,1.074038836,-0.473562501,3,
-,-,-,-,-,-,-,-,-,+,+,s5,1.585982864,-0.474116138,2,
-,-,-,+,-,-,-,+,+,-,-,s2,1.547034835,-0.477486397,3,
-,-,-,+,+,-,-,+,+,-,-,qc,1.277959966,-0.481334393,4,
-,-,-,-,-,-,+,-,-,-,-,s7,0.780996137,-0.483536253,1,
-,-,-,-,-,-,-,+,-,+,+,s3,1.43481696,-0.492807454,3,
-,-,-,-,-,-,+,+,-,-,+,s2,1.196645649,-0.49402543,3,
-,-,-,-,-,-,-,-,-,-,+,s3,1.389844779,-0.507178515,1,
-,-,-,-,-,-,+,-,+,+,-,s4,1.203285439,-0.508651688,3,
-,-,-,+,+,-,+,+,-,-,-,s8,1.133479272,-0.510590609,4,
-,-,-,+,-,-,+,+,-,-,+,s8,1.151491677,-0.511146953,4,
-,-,-,-,-,-,+,-,-,+,+,s7,0.804883415,-0.528911178,3,
-,-,+,-,-,+,-,-,+,-,-,qc,1.27768478,-0.530333874,3,
-,-,-,+,+,-,-,-,+,+,-,s5,1.639349797,-0.531518253,4,
-,-,+,-,-,-,+,-,-,+,-,s3,1.603987835,-0.535310397,3,
-,-,+,-,-,-,+,-,-,-,-,s1,1.321145021,-0.544752711,2,
-,-,-,+,+,+,-,-,-,+,-,s7,0.820874115,-0.545013569,4,
-,-,-,-,-,+,-,+,-,-,+,s8,0.596790789,-0.553198111,3,
-,-,+,-,-,-,-,+,+,-,-,qc,1.686060843,-0.564542201,3,
-,-,+,-,-,-,+,-,+,-,-,s4,1.568173877,-0.565398443,3,
-,+,-,-,-,-,-,-,-,-,+,s7,1.549742472,-0.569786826,2,
-,+,-,+,-,-,-,-,-,-,-,s2,1.452619081,-0.570257857,2,
-,-,+,-,-,-,-,-,-,+,+,s7,0.832495967,-0.570481492,3,
-,-,-,+,+,+,-,-,-,-,-,qc,1.978606367,-0.576118046,3,
-,+,-,-,+,-,-,-,-,-,-,s5,1.359837801,-0.582650326,2,
-,-,-,-,+,-,-,-,+,+,-,s2,1.208551668,-0.586242043,3,
-,-,-,-,-,+,+,-,-,-,+,s4,1.2695056,-0.587443824,3,
-,-,+,-,+,-,-,-,+,-,-,qc,1.48447065,-0.587481541,3,
-,-,-,+,-,-,+,-,+,+,-,qc,1.387204069,-0.590996195,4,
-,-,+,-,-,-,-,-,+,-,-,s7,0.841041059,-0.597594202,2,
-,-,-,-,-,+,+,-,+,+,-,qc,1.595689937,-0.612823071,4,
-,-,-,-,+,-,-,-,-,-,+,s5,1.43614504,-0.619814423,2,
-,-,-,+,-,-,-,-,-,-,-,s8,0.868645527,-0.629695863,1,
-,-,-,-,+,-,+,-,-,-,-,qc,1.886762295,-0.63150455,2,
-,-,+,-,-,+,-,-,-,-,-,s4,1.386098518,-0.644661073,2,
-,-,+,+,-,+,-,-,-,-,-,s7,1.888689327,-0.650851758,3,
-,-,-,-,+,+,-,-,+,-,-,s7,0.880320287,-0.672206809,3,
-,+,-,-,-,-,-,-,-,-,+,s5,1.43324477,-0.679770555,2,
-,-,-,-,-,+,+,+,+,-,-,qc,1.500763201,-0.697748232,4,
-,-,-,-,-,+,-,-,-,-,+,s1,1.580514314,-0.739313903,2,
-,-,-,-,+,+,+,-,-,-,-,s8,1.328535431,-0.743488302,3,
-,+,-,-,+,-,-,-,-,-,-,s7,1.589942437,-0.803767545,2,
-,-,-,+,-,+,-,+,-,-,-,qc,1.26630192,-0.810548769,3,
-,-,+,+,-,-,-,-,-,-,-,s7,1.169871161,-0.909170313,2,
-,-,-,+,+,-,-,+,+,-,-,s6,1.123807556,-1.023200588,4,
-,-,-,-,-,-,-,-,+,-,+,s7,1.081871979,-1.055063047,2,
-,-,-,+,+,-,-,-,-,+,-,s6,1.132804241,-1.069685479,3,
-,-,-,-,-,+,+,-,+,+,-,s7,1.221638746,-1.106500631,4,
-,+,+,-,-,-,-,-,-,-,-,s7,1.632171803,-1.179326665,2,
-,-,-,+,+,+,-,+,-,-,-,qc,1.342946636,-1.252383637,4,
-,+,-,-,-,+,-,-,-,-,-,s7,1.220433475,-1.297046825,2,
-,-,-,+,+,-,-,-,-,-,-,s7,1.643058832,-1.443797166,2,
-,-,+,-,+,-,+,-,-,-,-,s8,1.36874985,-1.726801665,3,